,cluster
882,1
883,1
884,2
885,1
886,3
887,2
888,0
889,2
890,2
891,3
892,3
893,1
894,2
895,2
896,1
897,1
898,0
899,2
900,3
901,1
902,1
903,0
904,2
905,3
906,2
907,2
908,2
909,0
910,2
911,0
912,1
913,1
914,1
915,1
916,0
917,2
918,3
919,2
920,0
921,0
922,2
923,1
924,3
925,2
926,3
927,3
928,2
929,3
930,0
931,3
932,0
933,2
934,3
935,1
936,2
937,0
938,1
939,3
940,2
941,3
942,0
943,2
944,1
945,2
946,2
947,3
948,1
949,1
950,1
951,1
952,2
953,3
954,3
955,2
956,2
957,1
958,2
959,2
960,2
961,3
962,1
963,3
964,3
965,1
966,1
967,3
968,2
969,0
970,2
971,3
972,1
973,0
974,0
975,3
976,3
977,3
978,3
979,1
980,1
981,3
982,0
983,0
984,3
985,3
986,1
987,3
988,3
989,1
990,2
991,0
992,0
993,1
994,2
995,2
996,0
997,1
998,3
999,0
1000,2
1001,2
1002,0
1003,3
1004,2
1005,3
1006,2
1007,3
1008,3
1009,3
1010,3
1011,1
1012,3
1013,3
1014,1
1015,2
1016,2
1017,2
1018,0
1019,3
1020,3
1021,0
1022,3
1023,2
1024,2
1025,1
1026,3
1027,3
1028,3
1029,3
1030,0
1031,0
1032,2
1033,2
1034,0
1035,3
1036,0
1037,3
1038,3
1039,0
1040,1
1041,1
1042,1
1043,3
1044,2
1045,2
1046,3
1047,1
1048,3
1049,1
1050,1
1051,3
1052,1
1053,3
1054,1
1055,3
1056,0
1057,2
1058,0
1059,2
1060,2
1061,0
1062,3
1063,1
1064,3
1065,1
1066,1
1067,2
1068,3
1069,1
1070,1
1071,3
1072,2
1073,3
1074,2
1075,3
1076,3
1077,1
1078,3
1079,1
1080,1
1081,2
1082,3
1083,1
1084,0
1085,0
1086,0
1087,2
1088,0
1089,2
1090,1
1091,2
1092,3
1093,3
1094,0
1095,1
1096,2
1097,1
1098,0
1099,2
1100,1
1101,0
1102,2
1103,3
1104,3
1105,0
1106,3
1107,2
1108,1
1109,3
1110,3
1111,1
1112,3
1113,0
1114,3
1115,2
1116,0
1117,2
1118,3
1119,3
1120,2
1121,3
1122,0
1123,1
1124,3
1125,3
1126,3
1127,0
1128,0
1129,1
1130,2
1131,0
1132,0
1133,1
1134,3
1135,1
1136,1
1137,0
1138,1
1139,3
1140,2
1141,3
1142,1
1143,0
1144,0
1145,1
1146,3
1147,2
1148,2
1149,3
1150,3
1151,3
1152,0
1153,1
1154,0
1155,2
1156,2
1157,3
1158,3
1159,2
1160,0
1161,3
1162,0
1163,3
1164,2
1165,0
1166,0
1167,0
1168,0
1169,3
1170,1
1171,2
1172,2
1173,2
1174,0
1175,3
1176,1
1177,1
1178,1
1179,3
1180,0
1181,3
1182,0
1183,3
1184,2
1185,3
1186,0
1187,1
1188,0
1189,3
1190,2
1191,3
1192,2
1193,3
1194,0
1195,1
1196,0
1197,1
1198,2
1199,1
1200,0
1201,3
1202,2
1203,1
1204,2
1205,3
1206,1
1207,3
1208,1
1209,0
1210,0
1211,2
1212,3
1213,0
1214,1
1215,1
1216,3
1217,0
1218,0
1219,0
1220,1
1221,0
1222,1
1223,3
1224,0
1225,1
1226,0
1227,2
1228,3
1229,3
1230,3
1231,1
1232,1
1233,0
1234,2
1235,0
1236,0
1237,3
1238,2
1239,2
1240,1
1241,0
1242,1
1243,0
1244,1
1245,0
1246,2
1247,0
1248,0
1249,2
1250,0
1251,1
1252,1
1253,1
1254,2
1255,2
1256,1
1257,0
1258,3
1259,1
1260,3
1261,0
1262,2
1263,0
1264,0
1265,2
1266,3
1267,2
1268,0
1269,0
1270,2
1271,2
1272,0
1273,2
1274,2
1275,1
1276,0
1277,1
1278,3
1279,0
1280,3
1281,1
1282,3
1283,1
1284,1
1285,3
1286,3
1287,3
1288,1
1289,2
1290,0
1291,3
1292,2
1293,0
1294,3
1295,3
1296,2
1297,3
1298,2
1299,0
1300,0
1301,0
1302,1
1303,0
1304,3
1305,1
1306,2
1307,1
1308,3
1309,0
1310,0
1311,1
1312,1
1313,2
1314,2
1315,2
1316,2
1317,3
1318,3
1319,0
1320,2
1321,0
1322,3
1323,3
1324,2
1325,2
1326,2
1327,3
1328,1
1329,3
1330,3
1331,3
1332,0
1333,1
1334,1
1335,3
1336,1
1337,0
1338,3
1339,3
1340,1
1341,3
1342,1
1343,0
1344,3
1345,0
1346,0
1347,2
1348,1
1349,2
1350,1
1351,1
1352,1
1353,0
1354,3
1355,2
1356,1
1357,0
1358,2
1359,1
1360,1
1361,2
1362,1
1363,0
1364,0
1365,2
1366,1
1367,1
1368,2
1369,2
1370,2
1371,0
1372,0
1373,1
1374,3
1375,0
1376,2
1377,0
1378,2
1379,0
1380,0
1381,1
1382,1
1383,0
1384,1
1385,3
1386,3
1387,2
1388,3
1389,1
1390,0
1391,1
1392,3
1393,2
1394,2
1395,2
1396,0
1397,2
1398,1
1399,3
1400,2
1401,2
1402,0
1403,3
1404,2
1405,1
1406,2
1407,1
1408,3
1409,0
1410,3
1411,2
1412,1
1413,2
1414,2
1415,3
1416,0
1417,2
1418,2
1419,3
1420,3
1421,1
1422,3
1423,2
1424,2
1425,2
1426,2
1427,2
1428,1
1429,1
1430,2
1431,2
1432,0
1433,0
1434,0
1435,3
1436,3
1437,2
1438,0
1439,0
1440,3
1441,3
1442,3
1443,1
1444,2
1445,3
1446,3
1447,3
1448,2
1449,2
1450,0
1451,0
1452,2
1453,3
1454,3
1455,1
1456,1
1457,0
1458,3
1459,0
1460,2
1461,1
1462,3
1463,2
1464,3
1465,2
1466,3
1467,2
1468,1
1469,1
1470,1
1471,0
1472,2
1473,3
1474,3
1475,3
1476,2
1477,3
1478,3
1479,2
1480,3
1481,3
1482,3
1483,1
1484,1
1485,1
1486,3
1487,3
1488,1
1489,1
1490,3
1491,2
1492,1
1493,0
1494,0
1495,2
1496,0
1497,1
1498,3
1499,0
1500,3
1501,3
1502,3
1503,0
1504,2
1505,3
1506,0
1507,1
1508,1
1509,3
1510,1
1511,0
1512,3
1513,0
1514,2
1515,0
1516,3
1517,0
1518,3
1519,1
1520,2
1521,1
1522,3
1523,1
1524,1
1525,1
1526,2
1527,2
1528,0
1529,1
1530,1
1531,0
1532,0
1533,3
1534,1
1535,0
1536,3
1537,2
1538,3
1539,3
1540,2
1541,0
1542,2
1543,3
1544,0
1545,0
1546,2
1547,3
1548,1
1549,0
1550,0
1551,2
1552,3
1553,1
1554,1
1555,3
1556,1
1557,1
1558,3
1559,2
1560,0
1561,1
1562,0
1563,2
1564,0
1565,0
1566,0
1567,2
